ds,y
1998-04-01,3518.0
1999-04-01,9210.0
2000-04-01,14403.0
2001-04-01,12635.0
2002-04-01,15759.0
2003-04-01,18268.0
2004-04-01,25990.0
2005-04-01,38776.0
2006-04-01,48389.0
2007-04-01,67988.0
2008-04-01,76876.0
2009-04-01,79553.0
2010-04-01,100080.0
2011-04-01,139690.0
2012-04-01,144293.0
2013-04-01,142962.0
2014-04-01,112744.0
2015-04-01,63972.0
2016-04-01,70196.0
2017-04-01,87803.0
2018-04-01,111915.0
2019-04-01,101376.0
2020-04-01,62248.0
2021-04-01,120675.0
2022-04-01,157531.0
2023-04-01,133366.0
2024-04-01,137174.0
2025-04-01,123379.0
