ds,y
1998-04-01,39808.0
1999-04-01,57805.0
2000-04-01,74097.0
2001-04-01,78706.0
2002-04-01,81989.0
2003-04-01,90434.0
2004-04-01,95861.0
2005-04-01,99409.0
2006-04-01,111502.0
2007-04-01,121672.0
2008-04-01,132775.0
2009-04-01,159259.0
2010-04-01,163595.0
2011-04-01,171729.0
2012-04-01,184795.0
2013-04-01,189238.0
2014-04-01,189435.0
2015-04-01,202850.0
2016-04-01,213932.0
2017-04-01,220433.0
2018-04-01,226498.0
2019-04-01,226955.0
2020-04-01,196461.0
2021-04-01,212382.0
2022-04-01,232700.0
2023-04-01,234262.0
2024-04-01,243225.0
2025-04-01,245769.0
