country,sanction_entity_count,person_count,org_count
ru,21646,11573,9242
us,2924,2454,186
ua,2586,2220,354
ir,2426,1272,1071
cn,1868,409,1350
tr,1605,1322,274
mx,1226,684,531
ae,1007,216,765
by,882,628,246
sy,760,594,159
cu,646,51,595
hk,603,37,555
kp,541,266,180
iq,530,283,243
lb,467,271,191
co,458,268,190
ge,454,436,18
cy,412,95,315
ve,409,356,53
gb,408,214,166
mm,372,245,91
pk,358,189,66
th,354,290,61
in,302,163,135
af,276,232,44
tn,246,239,7
de,223,96,114
ye,195,137,57
kh,174,42,132
pa,172,24,148
sg,162,53,106
mh,161,2,159
ph,154,55,9
ps,153,119,34
fr,143,97,34
cd,135,92,43
ch,129,55,64
eg,121,101,18
az,121,113,8
id,114,79,35
it,108,85,20
ni,106,82,24
so,106,77,28
sd,105,76,29
bg,104,25,79
eu,103,70,4
my,102,61,40
jo,101,86,11
zw,101,91,5
ly,100,80,14
gt,99,72,27
ca,99,62,33
nl,98,33,64
sa,97,84,10
rs,96,59,35
es,96,63,33
md,93,69,18
il,91,67,19
vg,88,1,87
tw,78,37,34
ng,73,57,13
be,72,46,25
lr,69,20,49
mt,68,15,51
kz,67,34,31
uz,64,43,21
ke,62,55,7
am,60,53,7
za,58,30,28
ht,57,53,4
kg,57,21,36
ba,56,41,15
mv,51,21,30
dz,50,39,11
py,49,41,8
rw,48,41,7
ml,47,35,12
lv,47,23,24
sc,45,0,45
at,45,25,14
ss,45,31,14
vn,44,28,16
pe,43,16,27
sv,43,39,4
xk,42,28,14
ug,42,36,6
hn,39,20,19
om,38,14,24
br,37,25,12
do,37,24,13
kn,36,30,6
qa,35,30,5
cf,35,25,10
kw,33,24,9
jp,33,13,15
ma,32,29,3
li,30,8,21
gr,30,16,14
al,29,24,5
fi,28,14,14
ee,28,12,16
bd,28,19,9
ie,27,17,10
se,26,19,4
mk,26,20,6
gm,25,8,17
lu,23,1,20
cz,23,9,11
ky,22,1,20
lt,22,13,9
pl,22,7,13
bh,22,18,4
cg,22,21,1
sk,22,10,12
ar,21,9,12
cr,20,12,8
au,20,13,4
ro,19,12,7
lk,19,14,4
ao,18,10,8
ec,18,9,9
jm,17,12,5
hu,16,11,5
er,16,9,7
bj,15,4,11
sl,15,9,6
dm,14,13,1
bz,14,5,9
me,14,11,3
gw,14,14,0
tz,13,9,4
si,12,6,6
gy,12,8,4
hr,12,8,4
io,12,0,12
gn,11,10,1
ua-cri,11,0,11
tj,11,5,6
et,10,8,2
kr,10,5,4
la,10,6,4
pw,9,5,4
mr,9,8,1
cl,8,4,4
ci,8,4,4
dk,8,3,4
vu,8,7,1
nz,8,3,5
je,8,0,8
no,8,3,4
cm,8,6,1
mc,7,4,3
tm,7,2,4
mz,7,4,3
pt,7,5,2
gi,7,0,7
dj,7,4,3
bf,6,2,4
gb-nir,6,0,6
sr,6,0,6
mu,6,0,5
gh,6,4,2
zm,5,3,2
ne,5,2,3
sn,5,5,0
bi,5,4,1
bb,5,2,3
bo,5,2,3
bm,5,0,5
td,5,5,0
ua-dpr,4,0,4
tg,4,3,1
tt,4,4,0
mo,4,2,2
vc,4,0,4
uy,4,1,3
mn,4,2,2
na,4,2,2
bs,3,0,3
gq,3,3,0
ag,3,1,2
im,3,0,2
is,2,1,1
gg,2,0,2
fj,2,2,0
cv,2,2,0
sm,2,0,1
suhh,2,2,0
km,2,1,1
mw,2,2,0
ua-lpr,2,1,1
aw,1,1,0
csxx,1,1,0
cw,1,0,1
ga,1,1,0
gd,1,1,0
lc,1,1,0
ip,1,0,1
pr,1,0,1
to,1,0,1
ws,1,0,1
yucs,1,1,0
