country_name,country_code,indicator_name,indicator_code,value,year,indicator_category,indicator_type
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.9199437,2015,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.9199437,2015,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.1064348,2016,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.1064348,2016,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.0762151,2017,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.0762151,2017,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.0948106,2018,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.0948106,2018,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.0878297,2019,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.0878297,2019,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.0614313,2020,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.0614313,2020,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.0349829,2021,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.0349829,2021,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.0223468,2022,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.0223468,2022,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.9918577,2023,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.9918577,2023,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.1702182,2024,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.1702182,2024,Control of Corruption,estimate
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,66.4758996,2015,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,66.4758996,2015,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,70.2507657,2016,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,70.2507657,2016,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,69.6390726,2017,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,69.6390726,2017,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,70.015474,2018,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,70.015474,2018,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,69.8741699,2019,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,69.8741699,2019,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,69.3398258,2020,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,69.3398258,2020,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,68.8044696,2021,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,68.8044696,2021,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,68.5486955,2022,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,68.5486955,2022,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,67.9315494,2023,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,67.9315494,2023,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,71.5418396,2024,Control of Corruption,score_0_100
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,71.5418396,2024,Control of Corruption,score_0_100
United Arab Emirates,ARE,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.4040254,2015,Government Effectiveness,estimate
United Arab Emirates,ARE,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.4040254,2015,Government Effectiveness,estimate
United Arab Emirates,ARE,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.4113666,2016,Government Effectiveness,estimate
United Arab Emirates,ARE,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.4113666,2016,Government Effectiveness,estimate
