country_name,country_code,year,control_of_corruption,government_effectiveness,political_stability,regulatory_quality,rule_of_law
Djibouti,DJI,2015,33.0839401,36.7102806,57.4700879,,39.7062078
Djibouti,DJI,2016,33.4572041,37.479315,53.8101722,,39.7081509
Djibouti,DJI,2017,32.384087,36.1890273,52.993998,,39.578167
Djibouti,DJI,2018,31.2252814,36.329487,60.8259835,,39.9847596
Djibouti,DJI,2019,29.0582086,38.6444045,59.3303305,,39.6288457
Djibouti,DJI,2020,31.3766334,38.2156211,58.0505993,,38.9839796
Djibouti,DJI,2021,29.463021,38.7465615,56.8861688,,39.2186888
Djibouti,DJI,2022,29.4595051,40.4871979,57.7394306,,39.3829391
Djibouti,DJI,2023,29.535172,40.9149061,57.9682181,,39.0741189
Djibouti,DJI,2024,29.8234701,41.7537153,56.3908861,,39.5750381
"Egypt, Arab Rep.",EGY,2015,36.4391364,41.1970738,39.967655,,42.5396523
"Egypt, Arab Rep.",EGY,2016,38.8014874,42.7666301,39.5891865,,42.4291768
"Egypt, Arab Rep.",EGY,2017,39.6374668,43.4288001,40.7648362,,43.6330552
"Egypt, Arab Rep.",EGY,2018,38.2405904,43.4484327,44.3372496,,44.2329876
"Egypt, Arab Rep.",EGY,2019,34.6551366,49.0336069,45.4490688,,44.0672159
"Egypt, Arab Rep.",EGY,2020,31.8344504,46.7836577,46.809485,,43.3703097
"Egypt, Arab Rep.",EGY,2021,31.9182645,46.9635849,47.6720665,,42.8773177
"Egypt, Arab Rep.",EGY,2022,32.1137471,48.5516052,49.5934665,,43.6640534
"Egypt, Arab Rep.",EGY,2023,31.3194268,50.5676507,50.5325121,,43.5801616
"Egypt, Arab Rep.",EGY,2024,31.1152849,49.4532828,49.1898949,,44.0301801
Indonesia,IDN,2015,37.269181,50.1223884,56.6870383,,50.4036099
Indonesia,IDN,2016,38.0931936,53.7163997,57.9790701,,51.4261426
Indonesia,IDN,2017,40.2284346,54.3846673,55.9594851,,51.5158034
Indonesia,IDN,2018,41.0105675,56.2687851,56.6224801,,53.183197
Indonesia,IDN,2019,39.1944788,57.4126224,55.9824787,,53.6607218
Indonesia,IDN,2020,40.8581326,55.4967156,56.6712515,,54.417917
Indonesia,IDN,2021,39.4300275,54.2003128,54.7968926,,54.4919144
Indonesia,IDN,2022,40.36113,55.8672272,52.8702435,,54.7424954
Indonesia,IDN,2023,38.8844656,56.6528103,55.4106465,,55.5576115
Indonesia,IDN,2024,36.8309801,54.8365911,55.4895207,,53.4090118
"Iran, Islamic Rep.",IRN,2015,32.4788862,47.6110494,52.4051184,,40.1996627
"Iran, Islamic Rep.",IRN,2016,34.5728163,47.3901809,54.8787562,,40.2087225
"Iran, Islamic Rep.",IRN,2017,33.6625039,47.5024565,53.9467875,,40.986679
"Iran, Islamic Rep.",IRN,2018,28.7856927,46.0373048,49.3491312,,40.287143
"Iran, Islamic Rep.",IRN,2019,27.77613,43.2270684,44.4465189,,38.8293982
"Iran, Islamic Rep.",IRN,2020,25.4997346,37.5907798,45.0322128,,39.2881443
"Iran, Islamic Rep.",IRN,2021,25.0474517,38.5725219,46.1177041,,38.5664651
"Iran, Islamic Rep.",IRN,2022,24.943143,37.5806922,46.3386888,,37.5891123
"Iran, Islamic Rep.",IRN,2023,24.1493632,36.947486,44.2108184,,36.3038979
"Iran, Islamic Rep.",IRN,2024,24.6329658,37.6106029,38.8851649,,35.7129133
Iraq,IRQ,2015,19.6468929,30.3543883,27.5477532,,31.3402656
Iraq,IRQ,2016,19.4922597,30.1091758,27.8165031,,30.5154685
Iraq,IRQ,2017,19.3847104,30.1111727,28.8661777,,30.3140998
Iraq,IRQ,2018,17.962609,30.4485245,28.7944333,,32.3181279
Iraq,IRQ,2019,18.6396013,29.8230474,27.926688,,33.3158272
Iraq,IRQ,2020,20.1393472,27.6607343,28.6313211,,30.9345026
Iraq,IRQ,2021,20.0427829,27.4041568,28.7885726,,32.2243657
Iraq,IRQ,2022,20.0561464,27.5438368,27.8121934,,31.9224297
Iraq,IRQ,2023,19.1731762,25.2876422,27.893044,,31.1439621
Iraq,IRQ,2024,23.4634646,29.9154103,30.6332522,,33.5897975
Kuwait,KWT,2015,42.9579246,55.9637415,63.3898139,,56.9659255
Kuwait,KWT,2016,40.9980663,51.2857028,65.5303963,,55.7792612
Kuwait,KWT,2017,39.897105,51.1983719,65.9260745,,56.0331346
Kuwait,KWT,2018,42.293308,53.8322783,69.9272242,,56.6589588
Kuwait,KWT,2019,45.1303189,49.1573876,70.0978967,,58.1044823
Kuwait,KWT,2020,44.714908,49.1596372,68.5489184,,59.4927045
Kuwait,KWT,2021,46.6273727,51.9172115,68.5286289,,59.0213653
Kuwait,KWT,2022,49.4163343,57.8274003,67.6737221,,60.8141699
Kuwait,KWT,2023,51.2150963,57.3510373,70.859994,,60.2529478
Kuwait,KWT,2024,52.2744755,57.7161007,70.9153025,,60.9374037
Malaysia,MYS,2015,52.7935737,67.6059224,66.6594252,,58.9296701
Malaysia,MYS,2016,49.9486685,66.4538797,65.6238617,,58.663424
Malaysia,MYS,2017,49.336186,66.1388399,65.6920105,,59.2131717
Malaysia,MYS,2018,57.8448648,68.0473561,68.9172284,,61.8937766
Malaysia,MYS,2019,57.1842175,67.2315239,68.6426383,,62.7978859
Malaysia,MYS,2020,56.3668583,68.2086053,68.2870199,,62.9879505
Malaysia,MYS,2021,53.9576967,66.9664999,69.2442318,,62.1560402
Malaysia,MYS,2022,55.3650278,66.618172,70.1357564,,62.0469295
Malaysia,MYS,2023,55.5607189,65.8744129,69.7921566,,62.1569094
Malaysia,MYS,2024,57.9431536,69.1273333,72.4670498,,62.9047385
Nigeria,NGA,2015,24.3464186,33.5709036,37.4061904,,40.4273328
Nigeria,NGA,2016,25.7696636,33.4681925,36.6837207,,41.8286386
Nigeria,NGA,2017,24.6904923,34.6017808,33.2722023,,43.3029229
Nigeria,NGA,2018,24.6724591,34.8939836,33.6874013,,42.9582287
Nigeria,NGA,2019,25.065908,32.5216168,32.1888547,,42.5472027
Nigeria,NGA,2020,25.2281358,32.2041115,31.5768107,,42.4852923
Nigeria,NGA,2021,23.7485646,30.9230481,31.4992996,,41.0219609
Nigeria,NGA,2022,23.0571866,30.7911243,32.5405717,,39.7570843
Nigeria,NGA,2023,25.614826,34.4678426,32.4832851,,40.875305
Nigeria,NGA,2024,25.2937973,31.7683438,31.6874346,,39.6344736
Oman,OMN,2015,47.8208257,52.9066438,76.4087913,,60.6069857
Oman,OMN,2016,47.4366576,54.4782689,74.5476434,,60.7788914
Oman,OMN,2017,47.4273445,53.4953095,75.2355741,,60.0780302
Oman,OMN,2018,47.4431835,53.5065773,75.1056839,,60.1277158
Oman,OMN,2019,51.1189348,55.3079939,74.7215562,,61.451403
Oman,OMN,2020,48.3389928,53.3201442,73.9028283,,61.3750254
Oman,OMN,2021,48.3283154,53.3387599,72.560235,,60.8459253
Oman,OMN,2022,48.2847475,60.0293791,73.4096398,,63.0303164
Oman,OMN,2023,52.4643107,60.5179762,75.3261287,,62.8904984
Oman,OMN,2024,58.1223297,62.3751465,76.6085897,,64.6984828
Qatar,QAT,2015,64.9592622,71.4469466,82.4182162,,66.186725
Qatar,QAT,2016,65.2654539,71.3532322,80.0590627,,66.9790558
Qatar,QAT,2017,62.9507858,70.2034412,80.1699718,,65.0562881
Qatar,QAT,2018,63.0233052,67.0161522,80.7676587,,64.9488555
Qatar,QAT,2019,65.6191706,69.663893,80.9649085,,65.4644262
Qatar,QAT,2020,65.5597273,70.089857,81.1056934,,65.2023123
Qatar,QAT,2021,64.846446,73.268826,81.7111268,,65.5758121
Qatar,QAT,2022,64.4481756,74.4612461,81.5465746,,67.252336
Qatar,QAT,2023,63.5576817,73.631595,83.2273545,,66.8240976
Qatar,QAT,2024,63.1337308,73.395251,82.1419879,,67.1120206
Russian Federation,RUS,2015,29.3654771,45.0710518,52.3898713,,41.3230363
Russian Federation,RUS,2016,31.1261242,44.9980608,52.7678581,,42.0417656
Russian Federation,RUS,2017,29.3654872,47.1232942,56.6939051,,42.5565429
Russian Federation,RUS,2018,29.8654369,48.1709302,59.6065913,,42.637509
Russian Federation,RUS,2019,32.2767016,52.1461979,59.0848287,,42.0461647
Russian Federation,RUS,2020,32.1746559,50.4999408,57.2357693,,42.7588393
Russian Federation,RUS,2021,32.0898257,49.0645229,57.2478665,,41.4273487
Russian Federation,RUS,2022,32.2120461,47.2828965,53.2379591,,38.8098571
Russian Federation,RUS,2023,29.8857189,47.2868281,51.9145331,,38.4906606
Russian Federation,RUS,2024,29.8168147,45.088178,50.464845,,37.0602119
Saudi Arabia,SAU,2015,45.00093066666667,52.997552866666666,57.894167333333336,58.6055,52.355803
Saudi Arabia,SAU,2016,50.29160173333333,56.821337,57.25266766666667,57.82791,53.5228876
Saudi Arabia,SAU,2017,50.081419000000004,54.78096706666667,54.49231713333333,56.44656,51.23803993333333
Saudi Arabia,SAU,2018,51.00503713333333,56.503082400000004,55.672807533333334,56.13274,52.96072306666667
Saudi Arabia,SAU,2019,52.166832,56.43335233333334,56.450441866666665,57.69091,54.0463
Saudi Arabia,SAU,2020,54.363088733333335,53.438928466666674,56.451229000000005,57.59455,53.87820766666667
Saudi Arabia,SAU,2021,52.642418666666664,58.893998733333326,57.91364719999999,60.97627,54.109882133333336
Saudi Arabia,SAU,2022,53.45646106666666,61.34109993333334,59.714679,63.60309,57.64149253333333
Saudi Arabia,SAU,2023,57.50908873333333,65.45403806666667,61.70587253333333,64.48507,58.97085013333333
Saudi Arabia,SAU,2024,63.093210866666674,66.57101033333333,65.071557,66.06456,60.585067466666665
Singapore,SGP,2015,89.9569319,93.8738309,84.8949902,,83.5736762
Singapore,SGP,2016,90.4515115,95.0042168,87.7393927,,83.5961362
Singapore,SGP,2017,90.6151744,94.4261072,89.569172,,82.6575367
Singapore,SGP,2018,90.8769177,94.4482054,88.0907851,,83.3609829
Singapore,SGP,2019,90.7440179,94.9771682,87.3842662,,83.234615
Singapore,SGP,2020,90.9144779,94.4177755,87.8537403,,82.2710686
Singapore,SGP,2021,89.9585047,94.4686196,87.7872673,,81.6232905
Singapore,SGP,2022,89.0057518,94.1426523,85.7908535,,81.5399907
Singapore,SGP,2023,86.801475,95.3284225,86.461279,,81.48039
Singapore,SGP,2024,87.6926389,95.6655857,86.9368376,,81.596249
United Arab Emirates,ARE,2015,66.4758996,78.6403765,80.2130602,,63.0056242
United Arab Emirates,ARE,2016,70.2507657,78.783119,77.7250567,,64.2018989
United Arab Emirates,ARE,2017,69.6390726,78.1385983,78.1809681,,63.5648206
United Arab Emirates,ARE,2018,70.015474,78.7848806,80.134659,,63.6651728
United Arab Emirates,ARE,2019,69.8741699,78.5272687,80.0644793,,64.3010859
United Arab Emirates,ARE,2020,69.3398258,70.8554731,80.0198861,,63.8059426
United Arab Emirates,ARE,2021,68.8044696,72.231295,80.2357804,,62.7906023
United Arab Emirates,ARE,2022,68.5486955,73.3741309,80.981136,,64.0194293
United Arab Emirates,ARE,2023,67.9315494,76.8137703,79.2684716,,64.6972832
